Wavelength,Excitation,Emission
500,93.78276409,0.422535154
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0.958480925,0
351,0.952963056,0
352,0.994088186,0
353,0.965699609,0
354,0.975264991,0
355,1.00999274,0
356,1.039745071,0
357,1.064878163,0
358,1.101282562,0
359,1.12201002,0
360,1.175249312,0
361,1.228440116,0
362,1.287284223,0
363,1.342346054,0
364,1.416558105,0
365,1.485186942,0
366,1.547381037,0
367,1.645731733,0
368,1.735960406,0
369,1.865924909,0
370,1.987999925,0
371,2.070949736,0
372,2.129141022,0
373,2.321139965,0
374,2.531812571,0
375,2.689155602,0
376,2.840891318,0
377,3.023704249,0
378,3.181466008,0
379,3.405629675,0
380,3.558650147,0
381,3.774078353,0
382,3.998581471,0
383,4.231749772,0
384,4.454052411,0
385,4.662573179,0
386,4.989604907,0
387,5.265792231,0
388,5.515543614,0
389,5.844368604,0
390,6.16903157,0
391,6.511594643,0
392,6.900216636,0
393,7.288596559,0
394,7.72110369,0
395,8.183133188,0
396,8.63287109,0
397,9.07718071,0
398,9.534691435,0
399,10.03113644,0
400,10.56959883,0
401,11.08175279,0
402,11.52657216,0
403,12.10751121,0
404,12.78563048,0
405,13.3399445,0
406,14.13269441,0
407,14.72586774,0
408,15.38813538,0
409,16.03781962,0
410,16.63132654,0
411,17.31245685,0
412,17.89939403,0
413,18.61371995,0
414,19.40053922,0
415,20.19299702,0
416,20.88232088,0
417,21.57652202,0
418,22.40853834,0
419,23.22315566,0
420,23.98529512,0
421,24.9203928,0
422,25.79358127,0
423,26.64678914,0
424,27.51352318,0
425,28.30155549,0
426,29.29615157,0
427,30.18205042,0
428,31.15179438,0
429,32.1542245,0
430,33.15035787,0
431,34.1106319,0
432,35.20009406,0
433,36.27757343,0
434,37.36205332,0
435,38.34415972,0
436,39.41397878,0
437,40.51875611,0
438,41.6987439,0
439,42.80139379,0
440,43.8707411,0
441,44.98106443,0
442,46.33534384,0
443,47.56081925,0
444,48.64422431,0
445,50.03741513,0
446,51.53553122,0
447,52.65110347,0
448,53.95960433,0
449,55.14200293,0
450,56.39865751,0
451,57.73828811,0
452,59.22616922,0
453,60.47174157,0
454,62.08637604,0
455,63.41061376,0
456,64.83631863,0
457,66.36706996,0
458,67.80612426,0
459,69.46232398,0
460,70.96332373,0
461,72.33076903,0
462,74.07963748,0
463,75.52373574,0
464,77.3174323,0
465,78.62435306,0
466,80.15222609,0
467,81.56445239,0
468,82.9715798,0
469,84.36347847,0
470,85.69711568,0
471,86.88112922,0
472,88.00848787,0
473,88.93590522,0
474,90.00889766,0
475,90.84308436,0
476,91.56836481,0
477,92.71720036,0
478,93.64019895,0
479,94.31439989,0
480,95.07207898,0
481,95.89543886,0
482,96.43398113,0
483,97.7371723,0
484,98.27551729,0
485,98.50518666,0
486,99.06643308,0
487,99.26689656,0
488,99.36247844,0
489,99.7360319,0
490,99.97943831,0
491,100,0
492,99.74659611,0
493,99.62510419,0
494,99.52241694,0
495,98.89534504,0
496,97.8698653,0
497,96.97946111,0
498,95.97545462,0
499,95.03096997,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
